Date : 2023-11-24 00:59:32
Directory : d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan
Total : 209 files,  19151 codes, 1565 comments, 1822 blanks, all 22538 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     11,421 |          0 |          4 |     11,425 |
| PHP        |        195 |      7,549 |      1,542 |      1,767 |     10,858 |
| JavaScript |          6 |         74 |         18 |         23 |        115 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| PostCSS    |          2 |         33 |          3 |          5 |         41 |
| XML        |          1 |         29 |          2 |          1 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        209 |     19,151 |      1,565 |      1,822 |     22,538 |
| . (Files)                                                                                                                                     |          9 |     11,541 |          4 |         34 |     11,579 |
| app                                                                                                                                           |         61 |      1,861 |        310 |        547 |      2,718 |
| app\Console                                                                                                                                   |          1 |         15 |          7 |          6 |         28 |
| app\Events                                                                                                                                    |          2 |         61 |         22 |         16 |         99 |
| app\Exceptions                                                                                                                                |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                                                      |         37 |      1,337 |        206 |        382 |      1,925 |
| app\Http (Files)                                                                                                                              |          1 |         42 |         21 |          7 |         70 |
| app\Http\Controllers                                                                                                                          |         24 |      1,112 |         97 |        312 |      1,521 |
| app\Http\Controllers (Files)                                                                                                                  |         15 |        874 |         37 |        247 |      1,158 |
| app\Http\Controllers\Auth                                                                                                                     |          9 |        238 |         60 |         65 |        363 |
| app\Http\Middleware                                                                                                                           |         10 |        117 |         62 |         45 |        224 |
| app\Http\Requests                                                                                                                             |          2 |         66 |         26 |         18 |        110 |
| app\Http\Requests (Files)                                                                                                                     |          1 |         15 |          5 |          4 |         24 |
| app\Http\Requests\Auth                                                                                                                        |          1 |         51 |         21 |         14 |         86 |
| app\Models                                                                                                                                    |         13 |        329 |         16 |        102 |        447 |
| app\Providers                                                                                                                                 |          5 |         80 |         44 |         28 |        152 |
| app\View                                                                                                                                      |          2 |         22 |          6 |          8 |         36 |
| app\View\Components                                                                                                                           |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                                                                     |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                                        |         15 |        529 |        749 |        238 |      1,516 |
| database                                                                                                                                      |         46 |        947 |        284 |        215 |      1,446 |
| database\factories                                                                                                                            |         12 |        166 |        108 |         49 |        323 |
| database\migrations                                                                                                                           |         20 |        435 |        122 |         80 |        637 |
| database\seeders                                                                                                                              |         14 |        346 |         54 |         86 |        486 |
| public                                                                                                                                        |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                                                     |         57 |      3,652 |        102 |        535 |      4,289 |
| resources\css                                                                                                                                 |          1 |         32 |          1 |          5 |         38 |
| resources\js                                                                                                                                  |          2 |         22 |         16 |         15 |         53 |
| resources\views                                                                                                                               |         54 |      3,598 |         85 |        515 |      4,198 |
| resources\views (Files)                                                                                                                       |          2 |        134 |          0 |         25 |        159 |
| resources\views\admin                                                                                                                         |         10 |        699 |          2 |         87 |        788 |
| resources\views\auth                                                                                                                          |          6 |        187 |          0 |         46 |        233 |
| resources\views\chat                                                                                                                          |          1 |        388 |          5 |         79 |        472 |
| resources\views\components                                                                                                                    |         14 |        165 |          2 |         29 |        196 |
| resources\views\consult                                                                                                                       |          3 |        305 |         38 |         42 |        385 |
| resources\views\footer                                                                                                                        |          1 |        126 |          0 |          7 |        133 |
| resources\views\home                                                                                                                          |          1 |         68 |          0 |          4 |         72 |
| resources\views\landingPage                                                                                                                   |          1 |        179 |          0 |         14 |        193 |
| resources\views\layouts                                                                                                                       |          5 |        189 |          0 |         35 |        224 |
| resources\views\navbar                                                                                                                        |          3 |        200 |         17 |         19 |        236 |
| resources\views\profile                                                                                                                       |          4 |        166 |          0 |         34 |        200 |
| resources\views\profile (Files)                                                                                                               |          1 |         26 |          0 |          4 |         30 |
| resources\views\profile\partials                                                                                                              |          3 |        140 |          0 |         30 |        170 |
| resources\views\shop                                                                                                                          |          3 |        792 |         21 |         94 |        907 |
| routes                                                                                                                                        |          5 |        157 |         44 |         75 |        276 |
| tests                                                                                                                                         |         12 |        426 |         10 |        156 |        592 |
| tests (Files)                                                                                                                                 |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                                                                 |          9 |        396 |          4 |        142 |        542 |
| tests\Feature (Files)                                                                                                                         |          3 |        157 |          4 |         57 |        218 |
| tests\Feature\Auth                                                                                                                            |          6 |        239 |          0 |         85 |        324 |
| tests\Unit                                                                                                                                    |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                                                 |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                                     |          2 |          7 |          2 |          1 |         10 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\README.md                                                                               | Markdown   |         45 |          0 |         22 |         67 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Console\Kernel.php                                                                  | PHP        |         15 |          7 |          6 |         28 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Events\MessageNotification.php                                                      | PHP        |         31 |         11 |          9 |         51 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Events\WebhookNotification.php                                                      | PHP        |         30 |         11 |          7 |         48 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Exceptions\Handler.php                                                              | PHP        |         17 |          9 |          5 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\AuthenticatedSessionController.php                            | PHP        |         29 |          9 |         11 |         49 |
